Site,Treatment,Plot,plot_mean_ANPP,n_quadrats
ANT,Control,2,54.280660000000005,1
ANT,Control,3,59.878395,2
ANT,Control,7,50.76678,1
ANT,Control,8,65.77865249999999,2
ANT,Control,10,69.21296000000001,2
ANT,Dry,4,32.20064000000001,2
ANT,Dry,6,11.3945975,2
ANT,Dry,9,16.132315000000002,2
ANT,Dry,12,18.960752499999998,2
ANT,Water,1,60.238155,2
ANT,Water,2,80.26466500000001,2
ANT,Water,5,72.5806,2
ANT,Water,11,73.31556,2
ARB,Control,2,120.4940665,2
ARB,Control,5,95.0892995,2
ARB,Control,6,80.3174975,2
ARB,Control,11,114.19751,2
ARB,Dry,1,51.338502500000004,2
ARB,Dry,4,56.91304,1
ARB,Dry,7,49.788452500000005,2
ARB,Dry,10,52.822807499999996,2
ARB,Water,3,99.4170115,2
ARB,Water,4,31.98248,1
ARB,Water,8,104.34871100000001,2
ARB,Water,9,111.71690000000001,2
ARB,Water,12,104.942622,2
BC,Control,2,70.0130525,2
BC,Control,3,21.662017499999997,2
BC,Control,5,22.3554675,2
BC,Control,7,17.02353,2
BC,Dry,4,15.3769295,2
BC,Dry,8,11.184953,2
BC,Dry,10,14.519285499999999,2
BC,Dry,12,11.498046500000001,2
BC,Water,1,40.047575499999994,2
BC,Water,6,47.836067,2
BC,Water,9,42.55825,2
BC,Water,11,63.548085,2
BP,Control,3,52.945225,2
BP,Control,5,68.332325,2
BP,Control,6,42.416575,2
BP,Control,8,32.6421625,2
BP,Control,9,57.2654,2
BP,Dry,1,28.572969999999998,2
BP,Dry,2,32.1917625,2
BP,Dry,4,26.9737725,2
BP,Dry,7,44.0172825,2
BP,Water,10,73.4014,2
BP,Water,11,55.402525,2
BP,Water,12,57.186665000000005,2
CC,Control,1,140.5590875,2
CC,Control,3,206.3783375,2
CC,Control,7,131.81994,2
CC,Control,12,195.7156775,2
CC,Dry,2,193.170145,2
CC,Dry,5,136.4365525,2
CC,Dry,8,115.78565499999999,2
CC,Dry,10,142.61456,2
CC,Water,4,176.69729999999998,2
CC,Water,6,212.19554,2
CC,Water,9,190.7482925,2
CC,Water,11,178.4271275,2
