Site,Treatment,Plot,Quadrat,Quad_mass
ANT,Control,2,1,54.280660000000005
ANT,Control,3,1,37.33452
ANT,Control,3,2,82.42227
ANT,Control,7,1,50.76678
ANT,Control,8,1,53.43458
ANT,Control,8,2,78.122725
ANT,Control,10,1,71.47612000000001
ANT,Control,10,2,66.9498
ANT,Dry,4,1,21.413980000000002
ANT,Dry,4,2,42.987300000000005
ANT,Dry,6,1,13.70455
ANT,Dry,6,2,9.084645
ANT,Dry,9,1,23.251730000000002
ANT,Dry,9,2,9.0129
ANT,Dry,12,1,15.13375
ANT,Dry,12,2,22.787755
ANT,Water,1,1,66.88283
ANT,Water,1,2,53.59348
ANT,Water,2,1,87.8796
ANT,Water,2,2,72.64973
ANT,Water,5,1,72.30225
ANT,Water,5,2,72.85895000000001
ANT,Water,11,1,67.40702
ANT,Water,11,2,79.2241
ARB,Control,2,1,115.992918
ARB,Control,2,2,124.995215
ARB,Control,5,1,101.87903899999999
ARB,Control,5,2,88.29956
ARB,Control,6,1,76.40451
ARB,Control,6,2,84.230485
ARB,Control,11,1,94.37806499999999
ARB,Control,11,2,134.016955
ARB,Dry,1,1,55.00522
ARB,Dry,1,2,47.671785
ARB,Dry,4,2,56.91304
ARB,Dry,7,1,60.79131
ARB,Dry,7,2,38.785595
ARB,Dry,10,1,58.496975
ARB,Dry,10,2,47.14864
ARB,Water,3,1,99.131885
ARB,Water,3,2,99.702138
ARB,Water,4,1,31.98248
ARB,Water,8,1,127.54759800000001
ARB,Water,8,2,81.149824
ARB,Water,9,1,122.51205
ARB,Water,9,2,100.92175
ARB,Water,12,1,103.255875
ARB,Water,12,2,106.629369
BC,Control,2,1,25.333655
BC,Control,2,2,114.69245
BC,Control,3,1,19.408105
BC,Control,3,2,23.91593
BC,Control,5,1,20.41602
BC,Control,5,2,24.294915
BC,Control,7,1,25.79126
BC,Control,7,2,8.2558
BC,Dry,4,1,19.719903
BC,Dry,4,2,11.033956
BC,Dry,8,1,6.642036
BC,Dry,8,2,15.727870000000001
BC,Dry,10,1,19.996389999999998
BC,Dry,10,2,9.042181000000001
BC,Dry,12,1,7.1949320000000005
BC,Dry,12,2,15.801161
BC,Water,1,1,42.206649999999996
BC,Water,1,2,37.888501
BC,Water,6,1,50.507545
BC,Water,6,2,45.164589
BC,Water,9,1,34.12229
BC,Water,9,2,50.99421
BC,Water,11,1,82.45785000000001
BC,Water,11,2,44.63832
BP,Control,3,1,52.350975
BP,Control,3,2,53.539475
BP,Control,5,1,62.692350000000005
BP,Control,5,2,73.9723
BP,Control,6,1,57.35375
BP,Control,6,2,27.479400000000002
BP,Control,8,1,9.166725
BP,Control,8,2,56.1176
BP,Control,9,1,36.6392
BP,Control,9,2,77.8916
BP,Dry,1,1,44.26819
BP,Dry,1,2,12.87775
BP,Dry,2,1,58.475375
BP,Dry,2,2,5.90815
BP,Dry,4,1,39.376905
BP,Dry,4,2,14.57064
BP,Dry,7,1,63.695565
BP,Dry,7,2,24.339
BP,Water,10,1,82.10155
BP,Water,10,2,64.70125
BP,Water,11,1,52.289500000000004
BP,Water,11,2,58.51555
BP,Water,12,1,56.157105
BP,Water,12,2,58.216225
CC,Control,1,1,179.59408
CC,Control,1,2,101.524095
CC,Control,3,1,212.209155
CC,Control,3,2,200.54752
CC,Control,7,1,107.58498
CC,Control,7,2,156.0549
CC,Control,12,1,206.2731
CC,Control,12,2,185.158255
CC,Dry,2,1,186.314315
CC,Dry,2,2,200.025975
CC,Dry,5,1,162.440245
CC,Dry,5,2,110.43286
CC,Dry,8,1,118.943545
CC,Dry,8,2,112.627765
CC,Dry,10,1,134.661775
CC,Dry,10,2,150.56734500000002
CC,Water,4,1,190.30649
CC,Water,4,2,163.08811
CC,Water,6,1,222.176275
CC,Water,6,2,202.214805
CC,Water,9,1,195.87395
CC,Water,9,2,185.622635
CC,Water,11,1,208.45116000000002
CC,Water,11,2,148.403095
