Site,Treatment,mean_ANPP,n_plots,sd_ANPP,se_ANPP
ANT,Control,59.9834895,5,7.685181895608101,3.4369178276060808
ANT,Dry,19.672076250000003,4,8.916603525237463,4.458301762618731
ANT,Water,71.599745,4,8.32811830647136,4.16405915323568
ARB,Control,102.524593375,4,18.32664407480134,9.16332203740067
ARB,Dry,52.715700625000004,4,3.060206200700489,1.5301031003502445
ARB,Water,90.4815449,5,32.99372860974627,14.755244000514457
BC,Control,32.763516875,4,24.945579910870517,12.472789955435259
BC,Dry,13.144803625,4,2.1153730835323254,1.0576865417661627
BC,Water,48.497494375,4,10.54567078748096,5.27283539374048
BP,Control,50.7203375,5,13.72718975431379,6.138985886136854
BP,Dry,32.938946875,4,7.701360574763823,3.8506802873819117
BP,Water,61.99686333333333,3,9.916823146598324,5.725480513194454
CC,Control,168.618260625,4,37.86611063639212,18.93305531819606
CC,Dry,147.001728125,4,32.84730388851441,16.423651944257205
CC,Water,189.517065,4,16.36217424316944,8.18108712158472
